id,company_name,industry,sub_industry,city,state,website,phone,contact_email,employee_count,estimated_revenue,founded_year,linkedin_url,growth_signals,source,description
1,Cedarbrook Freight,Logistics & Distribution,Wholesale Distribution,Salt Lake City,UT,https://www.cedarbrookfreight.com,(547) 150-9899,info@cedarbrookfreight.com,239,39440000,1977,https://www.linkedin.com/company/cedarbrookfreight,press mention;new location opened;website redesign,Industry Directory,"Cedarbrook Freight is a wholesale distribution business based in Salt Lake City, UT, operating in the logistics & distribution space since 1977."
2,Timber Fleet Co,Automotive Services,Auto Parts Distribution,Boise,ID,https://www.timberfleetco.com,(429) 137-4087,info@timberfleetco.com,183,45440000,2020,https://www.linkedin.com/company/timberfleetco,expanded service area;recent leadership change;hiring,State Business Registry,"Timber Fleet Co is a auto parts distribution business based in Boise, ID, operating in the automotive services space since 2020."
3,Anchor Wellness,Healthcare Services,Dental Practice,Richmond,VA,https://www.anchorwellness.com,(303) 774-8020,info@anchorwellness.com,75,18960000,1981,https://www.linkedin.com/company/anchorwellness,expanded service area,Industry Directory,"Anchor Wellness is a dental practice business based in Richmond, VA, operating in the healthcare services space since 1981."
4,Apex Care Network,Healthcare Services,Home Health Care,Tampa,FL,https://www.apexcarenetwork.com,(800) 799-6274,info@apexcarenetwork.com,118,30840000,1994,https://www.linkedin.com/company/apexcarenetwork,recent leadership change;expanded service area,Google Maps,"Apex Care Network is a home health care business based in Tampa, FL, operating in the healthcare services space since 1994."
5,Cascade Foods,Food & Beverage,Catering,Salt Lake City,UT,https://www.cascadefoods.com,(126) 319-9720,info@cascadefoods.com,120,14080000,2020,https://www.linkedin.com/company/cascadefoods,hiring;recent leadership change,State Business Registry,"Cascade Foods is a catering business based in Salt Lake City, UT, operating in the food & beverage space since 2020."
6,Redstone IT Group,IT Services & MSP,Managed IT,Tampa,FL,,(176) 112-2860,,34,9010000,1995,https://www.linkedin.com/company/redstoneitgroup,website redesign,Google Maps,"Redstone IT Group is a managed it business based in Tampa, FL, operating in the it services & msp space since 1995."
7,Pioneer Contracting,Construction,Specialty Trades,Nashville,TN,https://www.pioneercontracting.com,(500) 906-8480,info@pioneercontracting.com,65,17110000,2013,https://www.linkedin.com/company/pioneercontracting,press mention;new location opened;recent leadership change,State Business Registry,"Pioneer Contracting is a specialty trades business based in Nashville, TN, operating in the construction space since 2013."
8,Pioneer Education Partners,Education & Training,Childcare,Richmond,VA,https://www.pioneereducationpartners.com,(900) 606-4361,info@pioneereducationpartners.com,81,20610000,2011,https://www.linkedin.com/company/pioneereducationpartners,new location opened;hiring,LinkedIn Company Search,"Pioneer Education Partners is a childcare business based in Richmond, VA, operating in the education & training space since 2011."
9,Crestline Fabrication,Manufacturing,Metal Fabrication,Richmond,VA,https://www.crestlinefabrication.com,(529) 275-5979,info@crestlinefabrication.com,169,21170000,2003,https://www.linkedin.com/company/crestlinefabrication,new location opened;expanded service area,Google Maps,"Crestline Fabrication is a metal fabrication business based in Richmond, VA, operating in the manufacturing space since 2003."
10,Granite Education Partners,Education & Training,Childcare,Raleigh,NC,https://www.graniteeducationpartners.com,(358) 680-6137,info@graniteeducationpartners.com,87,22700000,2004,https://www.linkedin.com/company/graniteeducationpartners,recent leadership change;press mention,LinkedIn Company Search,"Granite Education Partners is a childcare business based in Raleigh, NC, operating in the education & training space since 2004."
11,Sterling Education Partners,Education & Training,Corporate Training,Indianapolis,IN,https://www.sterlingeducationpartners.com,(816) 749-8994,info@sterlingeducationpartners.com,175,17210000,1985,https://www.linkedin.com/company/sterlingeducationpartners,press mention;expanded service area,Industry Directory,"Sterling Education Partners is a corporate training business based in Indianapolis, IN, operating in the education & training space since 1985."
12,Crestline Auto Group,Automotive Services,Fleet Maintenance,Salt Lake City,UT,https://www.crestlineautogroup.com,(661) 172-7277,info@crestlineautogroup.com,220,49920000,1981,,,LinkedIn Company Search,"Crestline Auto Group is a fleet maintenance business based in Salt Lake City, UT, operating in the automotive services space since 1981."
13,Meridian Logistics,Logistics & Distribution,Wholesale Distribution,Milwaukee,WI,https://www.meridianlogistics.com,(938) 932-2605,info@meridianlogistics.com,207,30260000,1997,https://www.linkedin.com/company/meridianlogistics,,Google Maps,"Meridian Logistics is a wholesale distribution business based in Milwaukee, WI, operating in the logistics & distribution space since 1997."
14,Vanguard Kitchen Co,Food & Beverage,Craft Beverage,Milwaukee,WI,https://www.vanguardkitchenco.com,(851) 513-2250,info@vanguardkitchenco.com,71,18280000,2003,https://www.linkedin.com/company/vanguardkitchenco,recent leadership change;expanded service area,State Business Registry,"Vanguard Kitchen Co is a craft beverage business based in Milwaukee, WI, operating in the food & beverage space since 2003."
